ProductName,Qty,Unit_Price,SaleDate,CurrencyType,CustomerID,StoreID
Johnson Mirror,3,,10/15/2024,usd,ad3c23ab-269f-4fea-a92b-f23ca9dd8e8a,STORE_A
Roberts Pen,,20,3/12/2025,USD,e776bdfe-2cdb-4c49-96d3-63de01dca328,STORE_A
White Monitor,,10.5,11/9/2024,Usd,f71b163e-d97f-4bdd-93eb-b5ec9e1d6e80,STORE_A
Moore Chair,,20,6/16/2024,,b710729e-34f6-4bba-92a3-e8dd840524b5,STORE_A
Jackson Cable,1,,8/11/2024,USD,1f3219ac-02a6-455b-af6a-87711e6653d1,STORE_A
Lewis Ruler,2,20,9/28/2024,,b084e1d3-c4a1-452c-b4a3-adf282b0c7bf,STORE_A
Parker Cable,2,15.75,12/9/2024,OMR,0534e616-cbd9-4eba-82bf-f3903ad76eb9,STORE_A
Mitchell Frame,3,,4/1/2025,,82c0bacf-b86f-47ee-a10f-e7119321466a,STORE_A
Phillips Hook,1,20,3/17/2025,OMR,cfaf440e-d9ed-444b-9062-e6c2550281fa,STORE_A
Evans Tape,3,,2/2/2025,USD,c9c13482-e28d-4d33-844c-29bd074f07de,STORE_A
Rivera Block,,,10/13/2024,OMR,77048ffd-c5a7-47f9-8e77-c1a9c5745c2d,STORE_A
Sanchez Book,1,,10/8/2024,USD,27f9e498-f3d9-4c22-a051-8b1bd11e4fad,STORE_A
Gray Tool,,10.5,7/9/2024,OMR,e904ad5e-4565-482d-80ee-38265d1ff48c,STORE_A
Barnes Belt,2,,4/3/2025,USD,74cff845-5f2b-400a-bf18-0f3cb5e0fab8,STORE_A
Price Clip,,15.75,3/12/2025,usd,3b847e21-2766-4906-be24-552deb14b1c0,STORE_A
Bennett Lock,1,15.75,6/9/2024,Usd,657ae642-e290-46fb-a314-8ac34d345ec6,STORE_A
Coleman Case,1,,4/27/2025,USD,87ad2648-ee78-498b-9cc6-4d5fd4353b94,STORE_A
Perry Switch,2,30,11/23/2024,USD,,STORE_A
Powell Tube,1,20,9/29/2024,OMR,862c2ac0-e5d1-4079-aa33-7e46d62793bf,STORE_A
Flores Coat,3,20,2/11/2025,OMR,ca380deb-5aeb-4390-859f-badee8e997d0,STORE_A
Bryant Brush,2,20,5/18/2025,USD,620d689c-ecfc-470d-95d3-4a770c0e2724,STORE_A
Russell Oil,,20,11/11/2024,USD,471f88e1-e40d-4308-a591-7e3cb6eacf1c,STORE_A
Hayes Lotion,1,10.5,1/15/2025,usd,360fe30b-679e-47b9-bad8-f6f83ea74d84,STORE_A
Wallace Polish,3,15.75,6/27/2024,USD,8c48b22a-26b3-4dba-a69f-05ebc37f1ea2,STORE_A
Washington Skirt,3,,3/23/2025,USD,,STORE_A
Alexander Spray,1,,9/5/2024,USD,9f543615-50fe-499d-845e-86e904a5403a,STORE_A
Jordan Bleach,1,10.5,9/10/2024,usd,484cb4e5-c44b-4967-93bc-89aef0677f4c,STORE_A
Owens Powder,2,10.5,4/7/2025,USD,,STORE_A
Bell Glove,3,10.5,8/3/2024,Usd,8fd37b5c-55cd-4d3f-9be6-74bc3c06bbaf,STORE_A
Murphy Dish,2,,4/16/2025,usd,eef3faf3-5cbd-4965-bbad-28f57b22ad89,STORE_A
Morgan Stick,3,20,12/15/2024,,25debb26-0ef4-4c61-a5bc-dc5d74696803,STORE_A
Reed Rack,3,,2/10/2025,,4afc9a88-1a93-4ec1-91dd-18bb63497ea2,STORE_A
Ross Cover,3,30,5/3/2025,USD,27055332-a7e4-4ed9-a629-240d59715f87,STORE_A
Hanson Flashlight,3,10.5,11/22/2024,USD,e13dd68e-2328-4093-b6b0-817fe89f2835,STORE_A
Barrett Basket,1,30,1/10/2025,OMR,a9f573c0-99a2-48c1-9df8-472952847a59,STORE_A
Lane Mug,2,10.5,7/17/2024,OMR,13c53f9f-0f5f-492c-8660-001021d8745e,STORE_A
Dixon Marker,1,10.5,1/16/2025,Usd,051e499e-f4d0-4a1e-a595-21fc69b2db45,STORE_A
Welch Spray,,,12/18/2024,usd,a82ef1a5-152c-4434-9804-809cb0fdb067,STORE_A
Gibbs Cream,1,,1/15/2025,USD,e8a8cd70-5080-40c6-b45a-e32acdba61a2,STORE_A
Swanson Bucket,3,30,3/20/2025,USD,bbda2e5e-1979-4ee4-ab7a-d83f7f79f959,STORE_A
Ball Notebook,1,15.75,2/12/2025,Usd,34367237-9710-472d-9c25-5de7d3338499,STORE_A
Vasquez Bottle,1,,3/25/2025,Usd,,STORE_A
Holmes Hook,3,15.75,7/20/2024,USD,,STORE_A
Wallace Sheet,,15.75,7/5/2024,USD,3cbf55c8-e008-4a02-9af3-9030443f7d2a,STORE_A
Daniels Coat,1,15.75,4/9/2025,OMR,bfaa9172-189e-41ef-8d4c-e9501491647e,STORE_A
Newman Rod,3,15.75,12/27/2024,usd,23eef71c-2019-4005-b8ac-c849cc15b25a,STORE_A
Matthews Plate,2,10.5,5/15/2025,USD,8e0e97d9-775f-46f9-854c-7ea868042afa,STORE_A
Arnold Speaker,1,20,12/2/2024,Usd,335688a6-b5d5-43c2-9966-38f716e828af,STORE_A
Rivers Lid,2,30,1/11/2025,usd,699da3f7-d7cf-448c-a483-3506c42d685e,STORE_A
Harmon Net,1,30,6/13/2024,OMR,0403d558-166d-4616-9f3e-98d3d7414d35,STORE_A
Barker Deodorant,1,,9/29/2024,Usd,eb819074-e431-4245-b44c-2a00e60064e0,STORE_A
Flowers Thread,3,15.75,4/15/2025,usd,,STORE_A
Griffin Cream,3,15.75,12/3/2024,Usd,89e1228a-da9a-4b60-96ca-32e0476a9b3b,STORE_A
Cook Tray,3,20,2/24/2025,usd,cac5b139-f73f-4fc4-b109-a0f23668c0b0,STORE_A
Larson Rack,1,10.5,6/14/2024,,6d6bf428-c920-4e22-84a5-3b5574889784,STORE_A
Pierce File,3,10.5,7/21/2024,usd,82436cac-c3df-4c41-8c22-e5f3cb83361b,STORE_A
Fisher Cover,1,20,10/20/2024,OMR,0bbb7256-0ad2-4b07-a1b0-cba178732f64,STORE_A
Arnold Fork,3,30,1/20/2025,Usd,1e871ef8-cdf7-4f1b-888f-18086f3dc030,STORE_A
Chavez Printer,2,30,6/30/2024,Usd,838c2400-adf0-47bb-91b1-5055ed708224,STORE_A
Tucker Helmet,2,15.75,6/27/2024,OMR,48a52f0d-8edb-4a09-a079-573347382fd6,STORE_A
Banks Gloves,3,30,3/18/2025,,0b4a7550-cb81-475b-b8f0-4d4e9668f7e8,STORE_A
Warren Lamp,3,,1/16/2025,Usd,,STORE_A
Gibson Clock,1,15.75,5/22/2025,,40ff5ca1-8aac-4425-9ac4-167210e0516d,STORE_A
Sims Brush,3,10.5,4/27/2025,OMR,2a5e6434-a903-4944-ac8c-aedf06d19d05,STORE_A
Harper Phone,3,20,5/10/2025,,134fd311-9094-4aef-9068-78b44f308566,STORE_A
Dennis Mug,2,30,3/31/2025,USD,90e743f7-167e-4b98-ac06-a352d9bdfaa1,STORE_A
Fleming Tray,3,20,6/22/2024,usd,83de3a26-0f09-4821-97cd-111a28e1be39,STORE_A
