city,temperature,humidity,pressure,weather
Muscat,41.72,19,1002,Clear
Muscat,41.76,23,1001,Clear
Muscat,41.76,23,1001,Clear
Muscat,41.76,23,1001,Clear
Muscat,41.76,23,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Moscow,25.75,44,1013,Rain
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,41.49,24,1001,Clear
Muscat,35.7,38,1003,Clear
Muscat,36.55,38,1003,Clear
Muscat,36.55,38,1003,Clear
Muscat,36.55,38,1003,Clear
Muscat,36.55,38,1003,Clear
Muscat,36.55,38,1003,Clear
Muscat,36.55,38,1003,Clear
Muscat,36.55,38,1003,Clear
Muscat,37.29,38,1003,Clear
Muscat,37.29,38,1003,Clear
Muscat,37.29,38,1003,Clear
Muscat,37.29,38,1003,Clear
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.44,71,1012,Clouds
None,19.77,71,1012,Clouds
